"X","YCIMA","YBAIXO"
0,1,200
1.05747,0,0
1.6705,1.11494,-0.0229885
2.28352,1.02299,-2.8046
2.89655,0.954023,-3.1954
3.50958,0.931035,-2.90805
4.12261,0.885057,-2.90805
4.73563,0.666667,-2.47126
5.34866,0.494253,-0.896552
5.96169,0.413793,-0.37931
6.57471,0,0
