"X","YCIMA","YBAIXO"
0,1,200
0.844828,0,0
1.57663,3.08621,-2.84483
2.30843,3.46552,-3.68966
3.04023,3.7069,-3.41379
3.77203,2.22414,-3.87931
4.50383,2.03448,-3.36207
5.23563,1.63793,-1.94828
5.96743,1.34483,-1.81034
6.69923,0.0172414,-1.75862
7.43103,0,0
