"X","YCIMA","YBAIXO"
0,1,100
0.5875,0,0
0.833553,0.9375,-0.3875
1.07961,1.0875,-0.9
1.32566,1.025,-0.825
1.57171,1.7,-1.2875
1.81776,2.2125,-1.725
2.06382,2.1375,-2.2
2.30987,2.1125,-2.4
2.55592,2.0625,-2.4875
2.80197,2.025,-2.6
3.04803,2.15,-2.525
3.29408,2.1875,-1.9375
3.54013,2.1875,-1.925
3.78618,2.1125,-1.85
4.03224,2.2125,-1.7875
4.27829,2.2,-1.9125
4.52434,2.15,-2.0125
4.77039,2.125,-1.875
5.01645,2.025,-1.5
5.2625,0,0
