"X","YCIMA","YBAIXO"
0,1,100
0.452632,0,0
1.02222,2.62105,-1.98947
1.59181,2.8,-1.94737
2.1614,2.90526,-2.31579
2.73099,2.28421,-2.48421
3.30058,2.03158,-2.36842
3.87018,1.54737,-2.50526
4.43977,1.10526,-2.24211
5.00936,0.568421,-1.62105
5.57895,0,0
